survey id,image,class,x,y,chip name
,/data/raw/5b RGB,5b RGB,582.9352850539291,272.56163328197226,0000000001.png
,/data/raw/5b RGB,5b RGB,1295.0616332819723,346.6101694915254,0000000002.png
,/data/raw/5b RGB,5b RGB,1422.6771956856703,250.50462249614793,0000000003.png
,/data/raw/5b RGB,5b RGB,1670.0308166409861,264.68412942989215,0000000004.png
,/data/raw/5b RGB,5b RGB,2037.12249614792,557.7272727272727,0000000005.png
,/data/raw/5b RGB,5b RGB,1586.5292758089367,779.8728813559322,0000000006.png
,/data/raw/5b RGB,5b RGB,1372.2611710323574,869.6764252696456,0000000007.png
,/data/raw/5b RGB,5b RGB,1050.8590138674886,887.0069337442219,0000000008.png
,/data/raw/5b RGB,5b RGB,532.5192604006163,972.0839753466872,0000000009.png
,/data/raw/5b RGB,5b RGB,942.1494607087827,1161.1440677966102,00000000010.png
,/data/raw/5b RGB,5b RGB,1022.5,1455.7627118644068,00000000011.png
,/data/raw/5b RGB,5b RGB,1192.6540832049307,1539.2642526964562,00000000012.png
,/data/raw/5b RGB,5b RGB,1749.829074234571,1246.289743918266,00000000013.png
,/data/raw/5b RGB,5b RGB,1150.384723958793,805.463250506228,00000000014.png
,/data/raw/5b RGB,5b RGB,646.206633327186,43.431403054576656,00000000015.png
,/data/raw/5b RGB,5b RGB,523.5157229077371,397.60687815777504,00000000016.png
