survey id,image,class,x,y,chip name
,/data/raw/5c RGB,5c RGB,1047.195685670262,1930.6194144838212,0000000001.png
,/data/raw/5c RGB,5c RGB,1174.748844375963,1716.4560862865947,0000000002.png
,/data/raw/5c RGB,5c RGB,1262.9337442218798,1525.913713405239,0000000003.png
,/data/raw/5c RGB,5c RGB,1461.3497688751927,1384.1879815100153,0000000004.png
,/data/raw/5c RGB,5c RGB,1077.115562403698,1250.335901386749,0000000005.png
,/data/raw/5c RGB,5c RGB,314.94607087827427,1547.959938366718,0000000006.png
,/data/raw/5c RGB,5c RGB,141.72573189522342,1314.8998459167951,0000000007.png
,/data/raw/5c RGB,5c RGB,533.8335901386748,1332.2218798151002,0000000008.png
,/data/raw/5c RGB,5c RGB,955.8613251155624,1121.2080123266564,0000000009.png
,/data/raw/5c RGB,5c RGB,579.5007704160247,1039.322033898305,00000000010.png
,/data/raw/5c RGB,5c RGB,571.6271186440678,925.9414483821263,00000000011.png
,/data/raw/5c RGB,5c RGB,1258.2095531587056,1042.4714946070878,00000000012.png
,/data/raw/5c RGB,5c RGB,1538.5115562403698,1174.748844375963,00000000013.png
,/data/raw/5c RGB,5c RGB,1617.2480739599384,1036.1725731895224,00000000014.png
,/data/raw/5c RGB,5c RGB,1469.2234206471494,929.0909090909091,00000000015.png
,/data/raw/5c RGB,5c RGB,1535.362095531587,622.0184899845917,00000000016.png
,/data/raw/5c RGB,5c RGB,1258.2095531587056,511.7873651771957,00000000017.png
,/data/raw/5c RGB,5c RGB,974.7580893682589,626.7426810477658,00000000018.png
,/data/raw/5c RGB,5c RGB,655.0878274268105,595.2480739599383,00000000019.png
,/data/raw/5c RGB,5c RGB,486.59167950693376,292.8998459167951,00000000020.png
,/data/raw/5c RGB,5c RGB,1221.9907550077041,9.448382126348228,00000000021.png
,/data/raw/5c RGB,5c RGB,154.32357473035438,1522.764252696456,00000000022.png
,/data/raw/5c RGB,5c RGB,1152.7026194144837,137.0015408320493,00000000023.png
