survey id,image,class,x,y,chip name
,/data/raw/1c RGB,1c RGB,405.1516409331451,184.0493961060614,0000000001.png
,/data/raw/1c RGB,1c RGB,1307.1003063848354,69.82026481310301,0000000002.png
,/data/raw/1c RGB,1c RGB,1435.3747463903037,38.969450128243544,0000000003.png
,/data/raw/1c RGB,1c RGB,1855.9200623575987,55.20672101501169,0000000004.png
,/data/raw/1c RGB,1c RGB,1894.70957187631,255.08660902795415,0000000005.png
,/data/raw/1c RGB,1c RGB,1928.5162309041114,421.0465715280689,0000000006.png
,/data/raw/1c RGB,1c RGB,1777.9229315984517,365.7265840280307,0000000007.png
,/data/raw/1c RGB,1c RGB,2009.9595458347233,628.4965246532124,0000000008.png
,/data/raw/1c RGB,1c RGB,1553.5696489594077,444.0965663197515,0000000009.png
,/data/raw/1c RGB,1c RGB,1180.1597333341495,305.7965975696559,00000000010.png
,/data/raw/1c RGB,1c RGB,1075.666423611855,333.456591319675,00000000011.png
,/data/raw/1c RGB,1c RGB,1115.6197479174382,597.7631982643022,00000000012.png
,/data/raw/1c RGB,1c RGB,949.6597854173233,596.2265319448567,00000000013.png
,/data/raw/1c RGB,1c RGB,1364.5596916676102,539.369878125373,00000000014.png
,/data/raw/1c RGB,1c RGB,1415.269680209312,729.9165017366158,00000000015.png
,/data/raw/1c RGB,1c RGB,542.443210764264,1114.0830815979925,00000000016.png
,/data/raw/1c RGB,1c RGB,52.24665486114724,1095.6430857646465,00000000017.png
,/data/raw/1c RGB,1c RGB,107.56664236118549,1865.5129118068455,00000000018.png
,/data/raw/1c RGB,1c RGB,93.73664548617593,774.4798250005356,00000000019.png
,/data/raw/1c RGB,1c RGB,304.2599312502104,739.1364996532889,00000000020.png
,/data/raw/1c RGB,1c RGB,516.3198833336903,582.3965350698471,00000000021.png
,/data/raw/1c RGB,1c RGB,1545.7483861071494,1087.2459932010422,00000000022.png
