survey id,image,class,x,y,chip name
,1a RGB.tif,1a RGB,782.6364567422245,1756.872709948313,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000001.jpg
,1a RGB.tif,1a RGB,757.8158705701079,1191.0785824345146,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000002.jpg
,1a RGB.tif,1a RGB,1187.9275808936825,1162.7195685670263,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000003.jpg
,1a RGB.tif,1a RGB,1219.4375963020032,1143.8135593220338,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000004.jpg
,1a RGB.tif,1a RGB,1952.0454545454545,1208.409090909091,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000005.jpg
,1a RGB.tif,1a RGB,704.248844375963,1069.7650231124808,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000006.jpg
,1a RGB.tif,1a RGB,527.7927580893682,1146.964560862866,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000007.jpg
,1a RGB.tif,1a RGB,655.4083204930663,1077.6425269645608,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000008.jpg
,1a RGB.tif,1a RGB,1013.0469953775039,477.3767334360555,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000009.jpg
,1a RGB.tif,1a RGB,1178.4745762711864,414.3567026194145,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000010.jpg
,1a RGB.tif,1a RGB,1129.6340523882898,141.79506933744221,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000011.jpg
,1a RGB.tif,1a RGB,965.7819722650231,160.70107858243452,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000012.jpg
,1a RGB.tif,1a RGB,1903.2049306625577,70.89753466872111,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000013.jpg
,1a RGB.tif,1a RGB,1884.2989214175655,66.17103235747304,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000014.jpg
,1a RGB.tif,1a RGB,787.6965807967554,709.1421403621063,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000015.jpg
,1a RGB.tif,1a RGB,229.44691081330768,1338.4403130776282,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000016.jpg
,1a RGB.tif,1a RGB,123.61674652344871,1331.3256801841922,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000017.jpg
,1a RGB.tif,1a RGB,411.4298343071026,431.79764788666216,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000018.jpg
,1a RGB.tif,1a RGB,291.2597341877014,423.6505224548384,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000019.jpg
,1a RGB.tif,1a RGB,410.4114436281247,237.2850282018686,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000020.jpg
,1a RGB.tif,1a RGB,756.9858614497572,486.8089422174194,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000021.jpg
,1a RGB.tif,1a RGB,1571.7977684714901,948.5467541361495,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000022.jpg
,1a RGB.tif,1a RGB,1932.8035037221305,868.1992643740285,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000023.jpg
,1a RGB.tif,1a RGB,1695.2866264495156,1149.4135070709124,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000024.jpg
,1a RGB.tif,1a RGB,1840.6489526430028,1484.4301139381773,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000025.jpg
,1a RGB.tif,1a RGB,1169.9575762572492,435.5548585522912,C:/Users/yadava/Desktop/IMAGE-rYNA/Aug2025\1a RGB\0000000026.jpg
